date,variable,US,AU,CA,DE,FR,GB,IE,JP
2020-04-14,total postings,66.31,52.57,57.64,85.96,63.68,54.38,57.19,97.8
2020-04-15,total postings,65.73,51.85,56.78,85.67,63.11,53.66,56.51,96.89
2020-04-16,total postings,65.24,51.2,56.16,85.56,62.72,53.02,55.92,96.0
2020-04-17,total postings,64.79,50.66,55.66,85.2,62.4,52.39,55.26,95.3
2020-04-18,total postings,64.43,50.34,55.27,85.16,62.31,51.83,54.67,94.6
2020-04-19,total postings,64.07,49.81,54.77,85.06,62.27,51.3,54.11,93.9
2020-04-20,total postings,63.8,49.5,54.58,84.63,61.94,50.59,53.59,93.17
2020-04-21,total postings,63.52,49.52,54.43,84.44,61.77,50.03,53.09,92.6
2020-04-22,total postings,63.25,49.41,54.41,84.14,61.32,49.37,52.56,92.09
2020-04-23,total postings,63.01,49.33,54.29,83.89,60.8,48.92,52.09,91.34
2020-04-24,total postings,62.8,49.33,54.17,83.82,60.46,48.53,51.64,90.61
2020-04-25,total postings,62.64,49.12,54.15,83.61,60.09,48.13,51.22,89.9
2020-04-26,total postings,62.48,49.22,54.3,83.49,59.75,47.73,50.87,89.29
2020-04-27,total postings,62.24,49.21,54.21,83.54,59.58,47.52,50.52,89.02
2020-04-28,total postings,62.01,49.14,54.13,83.51,59.46,47.39,50.28,88.66
2020-04-29,total postings,61.83,49.18,54.08,83.53,59.41,47.32,50.08,88.39
2020-04-30,total postings,61.69,49.21,54.05,83.4,59.4,47.1,49.91,88.47
2020-05-01,total postings,61.6,49.2,53.96,83.17,59.2,46.8,49.76,88.42
2020-05-02,total postings,61.43,49.27,53.84,83.01,59.0,46.47,49.61,88.37
2020-05-03,total postings,61.26,49.17,53.57,82.9,58.84,46.24,49.44,88.21
2020-05-04,total postings,61.11,49.2,53.44,82.71,58.62,46.01,49.33,87.89
2020-05-05,total postings,61.04,49.27,53.4,82.36,58.29,45.58,49.02,87.65
2020-05-06,total postings,61.03,49.23,53.25,82.1,58.14,45.24,48.8,87.47
2020-05-07,total postings,61.02,49.34,53.21,81.73,57.83,44.96,48.5,87.34
2020-05-08,total postings,61.07,49.6,53.27,81.55,57.77,44.83,48.32,87.44
2020-05-09,total postings,61.25,49.82,53.42,81.36,57.7,44.74,48.17,87.56
2020-05-10,total postings,61.47,50.16,53.68,81.15,57.64,44.52,48.07,87.72
2020-05-11,total postings,61.62,50.33,53.8,81.03,57.65,44.31,47.91,87.81
2020-05-12,total postings,61.75,50.42,53.83,80.91,57.61,44.26,47.88,87.82
2020-05-13,total postings,61.52,50.59,53.86,80.76,57.55,44.14,47.66,87.71
2020-05-14,total postings,61.57,50.73,53.83,80.68,57.68,43.93,47.51,87.49
2020-05-15,total postings,61.76,50.98,53.93,80.33,57.88,43.45,47.25,87.37
2020-05-16,total postings,61.78,51.04,53.8,80.08,58.22,43.04,46.96,87.29
2020-05-17,total postings,61.83,51.06,53.66,79.7,58.43,42.67,46.56,87.2
2020-05-18,total postings,61.91,51.1,53.53,79.43,58.85,42.28,46.24,87.19
2020-05-19,total postings,61.99,51.19,53.38,79.41,59.46,41.94,45.97,87.29
2020-05-20,total postings,62.42,51.49,53.56,79.24,59.84,41.73,45.79,87.42
2020-05-21,total postings,62.7,51.81,53.89,79.42,60.33,41.72,45.89,87.65
2020-05-22,total postings,62.83,52.09,54.13,79.61,60.42,41.7,46.25,87.02
2020-05-23,total postings,63.06,52.54,54.59,79.66,60.39,41.69,46.54,86.34
2020-05-24,total postings,63.22,52.9,54.93,79.82,60.4,41.62,46.75,85.65
2020-05-25,total postings,63.38,53.3,55.28,79.73,60.1,41.48,46.77,85.1
2020-05-26,total postings,63.5,53.73,55.73,79.49,59.57,41.27,46.78,84.43
2020-05-27,total postings,63.61,54.02,56.01,79.74,59.48,41.01,46.88,83.82
2020-05-28,total postings,63.62,54.23,56.2,79.78,59.3,40.54,46.71,83.08
2020-05-29,total postings,63.79,54.38,56.51,80.04,59.32,40.33,46.15,83.08
2020-05-30,total postings,64.1,54.8,56.98,80.42,59.4,40.14,45.84,83.12
2020-05-31,total postings,64.36,55.09,57.26,80.81,59.43,40.01,45.77,83.18
2020-06-01,total postings,64.6,55.32,57.55,81.17,59.49,39.92,45.57,83.07
2020-06-02,total postings,64.91,55.54,57.8,81.47,59.74,39.87,45.46,83.04
2020-06-03,total postings,65.23,55.74,58.05,81.46,59.6,39.81,45.29,82.89
2020-06-04,total postings,65.61,56.12,58.27,81.43,59.55,39.8,45.16,82.76
2020-06-05,total postings,65.86,56.77,58.52,81.44,59.51,39.92,45.64,82.67
2020-06-06,total postings,66.05,57.06,58.71,81.4,59.41,40.03,46.0,83.25
2020-06-07,total postings,66.3,57.56,59.12,81.51,59.57,40.15,46.44,83.75
2020-06-08,total postings,66.56,58.04,59.43,81.71,59.73,40.32,47.06,84.47
2020-06-09,total postings,66.83,58.47,59.8,82.05,59.94,40.51,47.57,84.96
2020-06-10,total postings,67.07,58.91,60.18,82.27,60.12,40.65,48.05,85.48
2020-06-11,total postings,67.31,59.26,60.55,82.57,60.29,40.79,48.61,86.02
2020-06-12,total postings,67.54,59.38,60.81,82.7,60.43,40.83,48.78,86.53
2020-06-13,total postings,67.78,59.61,60.89,82.81,60.71,40.88,49.05,86.41
2020-06-14,total postings,68.14,59.92,61.2,82.69,60.8,40.91,49.18,86.35
2020-06-15,total postings,68.5,60.38,61.56,82.66,60.96,40.92,49.39,86.15
2020-06-16,total postings,68.86,60.94,61.87,82.51,60.97,40.94,49.77,86.09
2020-06-17,total postings,69.23,61.49,62.22,82.48,61.09,41.04,50.1,86.13
2020-06-18,total postings,69.61,62.0,62.57,82.43,61.16,41.16,50.41,86.23
2020-06-19,total postings,70.03,62.35,62.91,82.33,61.12,41.25,50.66,86.14
2020-06-20,total postings,70.5,62.7,63.39,82.26,61.14,41.37,50.98,85.99
2020-06-21,total postings,70.97,62.98,63.66,82.28,61.19,41.5,51.25,85.83
2020-06-22,total postings,71.46,62.8,63.92,82.26,61.23,41.62,51.47,85.69
2020-06-23,total postings,71.67,62.63,64.18,82.27,61.35,41.73,51.64,85.17
2020-06-24,total postings,71.92,62.44,64.42,82.21,61.5,41.79,51.85,84.63
2020-06-25,total postings,72.15,62.44,64.58,81.99,61.62,41.81,52.0,84.17
2020-06-26,total postings,72.34,62.33,64.75,81.81,61.76,41.77,52.12,83.91
2020-06-27,total postings,72.4,62.48,64.99,81.62,61.8,41.73,52.04,83.72
2020-06-28,total postings,72.41,62.65,65.21,81.69,62.05,41.71,52.1,83.6
2020-06-29,total postings,72.46,63.25,65.45,81.79,62.25,41.68,52.15,83.41
2020-06-30,total postings,72.77,63.69,65.66,81.86,62.48,41.62,51.97,83.72
2020-07-01,total postings,73.06,64.14,65.76,81.86,62.68,41.44,51.85,84.5
2020-07-02,total postings,73.3,64.38,65.82,82.0,62.99,41.28,51.75,84.76
2020-07-03,total postings,73.58,64.96,65.91,82.07,63.33,41.25,51.73,85.02
2020-07-04,total postings,73.86,65.28,66.01,82.21,63.69,41.27,51.82,85.16
2020-07-05,total postings,74.13,65.5,66.05,82.18,63.96,41.26,51.97,85.21
2020-07-06,total postings,74.36,65.81,66.07,82.07,64.28,41.23,52.08,85.27
2020-07-07,total postings,74.57,66.34,66.2,81.98,64.58,41.27,52.36,85.17
2020-07-08,total postings,74.87,66.72,66.51,82.23,64.89,41.46,52.62,84.6
2020-07-09,total postings,75.26,67.1,66.98,82.32,64.97,41.62,52.75,84.49
2020-07-10,total postings,75.62,67.42,67.46,82.07,64.92,41.75,52.78,84.35
2020-07-11,total postings,76.03,67.62,67.81,81.49,64.53,41.78,52.79,84.27
2020-07-12,total postings,76.43,67.9,68.24,81.21,64.55,41.96,52.85,84.04
2020-07-13,total postings,76.79,68.1,68.66,81.03,64.62,42.13,52.96,83.79
2020-07-14,total postings,77.22,68.13,69.03,80.86,64.6,42.28,53.1,83.62
2020-07-15,total postings,77.49,68.36,69.29,80.36,64.32,42.38,53.09,83.48
2020-07-16,total postings,77.69,68.52,69.53,80.3,64.17,42.53,53.28,83.33
2020-07-17,total postings,77.87,68.59,69.75,80.39,63.94,42.62,53.41,83.1
2020-07-18,total postings,77.89,68.61,69.75,81.08,64.49,42.84,53.72,82.84
2020-07-19,total postings,78.06,68.67,69.95,81.37,64.53,42.93,53.9,82.8
2020-07-20,total postings,78.24,68.73,70.16,81.6,64.6,43.09,54.08,82.87
2020-07-21,total postings,78.37,68.89,70.38,81.73,64.65,43.21,54.16,82.61
2020-07-22,total postings,78.61,69.05,70.67,81.85,64.78,43.33,54.37,82.48
2020-07-23,total postings,78.87,69.38,70.94,81.66,64.89,43.47,54.53,82.48
2020-07-24,total postings,79.26,69.66,71.2,81.94,65.34,43.73,54.86,82.4
2020-07-25,total postings,79.77,70.13,71.84,82.1,65.62,43.98,55.16,82.37
2020-07-26,total postings,80.14,70.6,72.19,82.33,65.84,44.2,55.37,82.34
2020-07-27,total postings,80.5,70.96,72.54,82.62,66.06,44.42,55.53,81.43
2020-07-28,total postings,80.85,71.28,72.88,83.04,66.44,44.58,55.84,80.93
2020-07-29,total postings,81.16,71.55,73.19,83.35,66.8,44.82,56.1,80.4
2020-07-30,total postings,81.47,71.74,73.5,83.65,67.16,44.96,56.31,79.86
2020-07-31,total postings,81.64,71.93,73.65,84.03,67.5,45.11,56.57,79.46
